level,longitudinal_min,longitudinal_mean,longitudinal_max,lateral
2,883838.5633675047,998181.6611156403,1155447.8042088735,625471.4623756428
3,102133.77342658168,121274.00935363666,142952.43893944364,156367.8655939102
4,25168.6179244485,29997.112842979997,35738.2478442816,19545.98319923842
5,3143.2113930223554,3763.712664253905,4464.239254451132,4886.495799809517
6,785.2646757180866,949.771507181632,1116.012185968187,610.8119749759243
7,98.1580845516224,119.74059819518226,139.5015232817945,152.70299374380426
8,24.538907819499283,30.056046059950404,34.87528777987605,19.087874217975532
